Date,Time,Interval (Seconds)
02/25/2017,09:53:19.666,0.38161599999999996
02/25/2017,09:53:19.724,0.049776
02/25/2017,09:53:20.167,0.431392
02/25/2017,09:53:20.838,0.38161599999999996
02/25/2017,09:53:20.897,0.049776
02/25/2017,09:53:21.328,0.431392
02/25/2017,09:53:22.285,0.613904
02/25/2017,09:53:22.889,0.315248
02/25/2017,09:53:23.442,0.547536
02/25/2017,09:53:24.065,0.630496
02/25/2017,09:53:24.503,0.265472
02/25/2017,09:53:25.442,0.74664
02/25/2017,09:53:26.079,0.6636799999999999
02/25/2017,09:53:26.515,0.34843199999999996
02/25/2017,09:53:26.983,0.447984
02/25/2017,09:53:27.796,0.796416
02/25/2017,09:53:28.646,0.8461919999999999
02/25/2017,09:53:29.475,0.8461919999999999
02/25/2017,09:53:30.097,0.630496
02/25/2017,09:53:30.985,0.8461919999999999
02/25/2017,09:53:31.721,0.74664
02/25/2017,09:53:32.490,0.796416
02/25/2017,09:53:32.946,0.4148
02/25/2017,09:53:33.452,0.564128
02/25/2017,09:53:34.414,0.9125599999999999
02/25/2017,09:53:35.332,0.929152
02/25/2017,09:53:36.179,0.813008
02/25/2017,09:53:36.717,0.58072
02/25/2017,09:53:37.443,0.7300479999999999
02/25/2017,09:53:38.233,0.779824
02/25/2017,09:53:38.898,0.6636799999999999
02/25/2017,09:53:39.497,0.58072
02/25/2017,09:53:40.278,0.74664
02/25/2017,09:53:40.686,0.464576
02/25/2017,09:53:41.785,1.111664
02/25/2017,09:53:42.501,0.7300479999999999
02/25/2017,09:53:43.302,0.779824
02/25/2017,09:53:43.987,0.6968639999999999
02/25/2017,09:53:44.817,0.8296
02/25/2017,09:53:45.390,0.564128
02/25/2017,09:53:46.223,0.813008
02/25/2017,09:53:47.000,0.813008
02/25/2017,09:53:47.820,0.779824
02/25/2017,09:53:48.840,0.8461919999999999
02/25/2017,09:53:49.512,0.680272
02/25/2017,09:53:50.226,0.713456
02/25/2017,09:53:57.014,1.227808
02/25/2017,09:53:57.900,0.9125599999999999
02/25/2017,09:53:58.596,0.647088
02/25/2017,09:53:59.293,0.7632319999999999
02/25/2017,09:54:00.174,0.8296
02/25/2017,09:54:00.907,0.7632319999999999
02/25/2017,09:54:01.282,0.38161599999999996
02/25/2017,09:54:01.584,0.315248
02/25/2017,09:54:02.466,0.862784
02/25/2017,09:54:03.302,0.8296
02/25/2017,09:54:04.194,0.8793759999999999
02/25/2017,09:54:04.427,0.265472
02/25/2017,09:54:05.195,0.7300479999999999
